config,timestamp,latency_ms,throughput_mvps,edges_per_sec_m,per_vertex_ns
bfs_bank_inorder_dram_16k_deg16,2025-11-17T11:53:54.657082,68.0,3.86,61.68,1037.53
bfs_bank_inorder_dram_16k_deg8,2025-11-17T11:53:54.667508,68.0,3.86,61.68,1037.53
bfs_bank_inorder_dram_1k_deg16,2025-11-17T11:53:54.677925,68.0,3.86,61.68,1037.53
bfs_bank_inorder_dram_1k_deg8,2025-11-17T11:53:54.687894,68.0,3.86,61.68,1037.53
bfs_bank_inorder_dram_4k_deg16,2025-11-17T11:53:54.698047,68.0,3.86,61.68,1037.53
bfs_bank_inorder_dram_4k_deg8,2025-11-17T11:53:54.708713,68.0,3.86,61.68,1037.53
bfs_bank_inorder_dram_64k_deg16,2025-11-17T11:53:54.718304,68.0,3.86,61.68,1037.53
bfs_bank_inorder_dram_64k_deg8,2025-11-17T11:53:54.728212,68.0,3.86,61.68,1037.53
bfs_bank_inorder_pcm_16k_deg16,2025-11-17T11:53:54.736593,150.64,1.74,27.84,2298.65
bfs_bank_inorder_pcm_16k_deg8,2025-11-17T11:53:54.744847,150.64,1.74,27.84,2298.65
bfs_bank_inorder_pcm_1k_deg16,2025-11-17T11:53:54.753406,150.64,1.74,27.84,2298.65
bfs_bank_inorder_pcm_1k_deg8,2025-11-17T11:53:54.806450,150.64,1.74,27.84,2298.65
bfs_bank_inorder_pcm_4k_deg16,2025-11-17T11:53:54.817176,150.64,1.74,27.84,2298.65
bfs_bank_inorder_pcm_4k_deg8,2025-11-17T11:53:54.827637,150.64,1.74,27.84,2298.65
bfs_bank_inorder_pcm_64k_deg16,2025-11-17T11:53:54.837378,150.64,1.74,27.84,2298.65
bfs_bank_inorder_pcm_64k_deg8,2025-11-17T11:53:54.847244,150.64,1.74,27.84,2298.65
bfs_bank_inorder_reram_16k_deg16,2025-11-17T11:53:54.856316,43.54,6.02,96.32,664.42
bfs_bank_inorder_reram_16k_deg8,2025-11-17T11:53:54.866588,43.54,6.02,96.32,664.42
bfs_bank_inorder_reram_1k_deg16,2025-11-17T11:53:54.876854,43.54,6.02,96.32,664.42
bfs_bank_inorder_reram_1k_deg8,2025-11-17T11:53:54.887282,43.54,6.02,96.32,664.42
bfs_bank_inorder_reram_4k_deg16,2025-11-17T11:53:54.897208,43.54,6.02,96.32,664.42
bfs_bank_inorder_reram_4k_deg8,2025-11-17T11:53:54.906655,43.54,6.02,96.32,664.42
bfs_bank_inorder_reram_64k_deg16,2025-11-17T11:53:54.916811,43.54,6.02,96.32,664.42
bfs_bank_inorder_reram_64k_deg8,2025-11-17T11:53:54.926703,43.54,6.02,96.32,664.42
bfs_bank_inorder_sram_16k_deg16,2025-11-17T11:53:54.936390,20.27,12.93,206.89,309.34
bfs_bank_inorder_sram_16k_deg8,2025-11-17T11:53:54.945792,20.27,12.93,206.89,309.34
bfs_bank_inorder_sram_1k_deg16,2025-11-17T11:53:54.955092,20.27,12.93,206.89,309.34
bfs_bank_inorder_sram_1k_deg8,2025-11-17T11:53:54.964443,20.27,12.93,206.89,309.34
bfs_bank_inorder_sram_4k_deg16,2025-11-17T11:53:54.973936,20.27,12.93,206.89,309.34
bfs_bank_inorder_sram_4k_deg8,2025-11-17T11:53:54.983869,20.27,12.93,206.89,309.34
bfs_bank_inorder_sram_64k_deg16,2025-11-17T11:53:54.993862,20.27,12.93,206.89,309.34
bfs_bank_inorder_sram_64k_deg8,2025-11-17T11:53:55.003305,20.27,12.93,206.89,309.34
bfs_bank_inorder_sttmram_16k_deg16,2025-11-17T11:53:55.013634,66.15,3.96,63.41,1009.3
bfs_bank_inorder_sttmram_16k_deg8,2025-11-17T11:53:55.023248,66.15,3.96,63.41,1009.3
bfs_bank_inorder_sttmram_1k_deg16,2025-11-17T11:53:55.032572,66.15,3.96,63.41,1009.3
bfs_bank_inorder_sttmram_1k_deg8,2025-11-17T11:53:55.041121,66.15,3.96,63.41,1009.3
bfs_bank_inorder_sttmram_4k_deg16,2025-11-17T11:53:55.050766,66.15,3.96,63.41,1009.3
bfs_bank_inorder_sttmram_4k_deg8,2025-11-17T11:53:55.060154,66.15,3.96,63.41,1009.3
bfs_bank_inorder_sttmram_64k_deg16,2025-11-17T11:53:55.069416,66.15,3.96,63.41,1009.3
bfs_bank_inorder_sttmram_64k_deg8,2025-11-17T11:53:55.078756,66.15,3.96,63.41,1009.3
bfs_bank_simple_alu_dram_16k_deg16,2025-11-17T11:53:55.087253,68.0,3.86,61.68,1037.53
bfs_bank_simple_alu_dram_16k_deg8,2025-11-17T11:53:55.096910,68.0,3.86,61.68,1037.53
bfs_bank_simple_alu_dram_1k_deg16,2025-11-17T11:53:55.105778,68.0,3.86,61.68,1037.53
bfs_bank_simple_alu_dram_1k_deg8,2025-11-17T11:53:55.115436,68.0,3.86,61.68,1037.53
bfs_bank_simple_alu_dram_4k_deg16,2025-11-17T11:53:55.124990,68.0,3.86,61.68,1037.53
bfs_bank_simple_alu_dram_4k_deg8,2025-11-17T11:53:55.135031,68.0,3.86,61.68,1037.53
bfs_bank_simple_alu_dram_64k_deg16,2025-11-17T11:53:55.144180,68.0,3.86,61.68,1037.53
bfs_bank_simple_alu_dram_64k_deg8,2025-11-17T11:53:55.153650,68.0,3.86,61.68,1037.53
bfs_bank_simple_alu_pcm_16k_deg16,2025-11-17T11:53:55.162616,150.64,1.74,27.84,2298.65
bfs_bank_simple_alu_pcm_16k_deg8,2025-11-17T11:53:55.171755,150.64,1.74,27.84,2298.65
bfs_bank_simple_alu_pcm_1k_deg16,2025-11-17T11:53:55.181234,150.64,1.74,27.84,2298.65
bfs_bank_simple_alu_pcm_1k_deg8,2025-11-17T11:53:55.190634,150.64,1.74,27.84,2298.65
bfs_bank_simple_alu_pcm_4k_deg16,2025-11-17T11:53:55.202984,150.64,1.74,27.84,2298.65
bfs_bank_simple_alu_pcm_4k_deg8,2025-11-17T11:53:55.213286,150.64,1.74,27.84,2298.65
bfs_bank_simple_alu_pcm_64k_deg16,2025-11-17T11:53:55.223298,150.64,1.74,27.84,2298.65
bfs_bank_simple_alu_pcm_64k_deg8,2025-11-17T11:53:55.235065,150.64,1.74,27.84,2298.65
bfs_bank_simple_alu_reram_16k_deg16,2025-11-17T11:53:55.244979,43.54,6.02,96.32,664.42
bfs_bank_simple_alu_reram_16k_deg8,2025-11-17T11:53:55.256336,43.54,6.02,96.32,664.42
bfs_bank_simple_alu_reram_1k_deg16,2025-11-17T11:53:55.266847,43.54,6.02,96.32,664.42
bfs_bank_simple_alu_reram_1k_deg8,2025-11-17T11:53:55.277262,43.54,6.02,96.32,664.42
bfs_bank_simple_alu_reram_4k_deg16,2025-11-17T11:53:55.287709,43.54,6.02,96.32,664.42
bfs_bank_simple_alu_reram_4k_deg8,2025-11-17T11:53:55.297114,43.54,6.02,96.32,664.42
bfs_bank_simple_alu_reram_64k_deg16,2025-11-17T11:53:55.309135,43.54,6.02,96.32,664.42
bfs_bank_simple_alu_reram_64k_deg8,2025-11-17T11:53:55.319020,43.54,6.02,96.32,664.42
bfs_bank_simple_alu_sram_16k_deg16,2025-11-17T11:53:55.329252,20.27,12.93,206.89,309.34
bfs_bank_simple_alu_sram_16k_deg8,2025-11-17T11:53:55.339211,20.27,12.93,206.89,309.34
bfs_bank_simple_alu_sram_1k_deg16,2025-11-17T11:53:55.349000,20.27,12.93,206.89,309.34
bfs_bank_simple_alu_sram_1k_deg8,2025-11-17T11:53:55.358991,20.27,12.93,206.89,309.34
bfs_bank_simple_alu_sram_4k_deg16,2025-11-17T11:53:55.369019,20.27,12.93,206.89,309.34
bfs_bank_simple_alu_sram_4k_deg8,2025-11-17T11:53:55.379103,20.27,12.93,206.89,309.34
bfs_bank_simple_alu_sram_64k_deg16,2025-11-17T11:53:55.389041,20.27,12.93,206.89,309.34
bfs_bank_simple_alu_sram_64k_deg8,2025-11-17T11:53:55.398935,20.27,12.93,206.89,309.34
bfs_bank_simple_alu_sttmram_16k_deg16,2025-11-17T11:53:55.408581,66.15,3.96,63.41,1009.3
bfs_bank_simple_alu_sttmram_16k_deg8,2025-11-17T11:53:55.417767,66.15,3.96,63.41,1009.3
bfs_bank_simple_alu_sttmram_1k_deg16,2025-11-17T11:53:55.427805,66.15,3.96,63.41,1009.3
bfs_bank_simple_alu_sttmram_1k_deg8,2025-11-17T11:53:55.437390,66.15,3.96,63.41,1009.3
bfs_bank_simple_alu_sttmram_4k_deg16,2025-11-17T11:53:55.446869,66.15,3.96,63.41,1009.3
bfs_bank_simple_alu_sttmram_4k_deg8,2025-11-17T11:53:55.456205,66.15,3.96,63.41,1009.3
bfs_bank_simple_alu_sttmram_64k_deg16,2025-11-17T11:53:55.465578,66.15,3.96,63.41,1009.3
bfs_bank_simple_alu_sttmram_64k_deg8,2025-11-17T11:53:55.475298,66.15,3.96,63.41,1009.3
bfs_rank_inorder_dram_16k_deg16,2025-11-17T11:53:55.486219,68.0,3.86,61.68,1037.53
bfs_rank_inorder_dram_16k_deg8,2025-11-17T11:53:55.497015,68.0,3.86,61.68,1037.53
bfs_rank_inorder_dram_1k_deg16,2025-11-17T11:53:55.507304,68.0,3.86,61.68,1037.53
bfs_rank_inorder_dram_1k_deg8,2025-11-17T11:53:55.517493,68.0,3.86,61.68,1037.53
bfs_rank_inorder_dram_4k_deg16,2025-11-17T11:53:55.527173,68.0,3.86,61.68,1037.53
bfs_rank_inorder_dram_4k_deg8,2025-11-17T11:53:55.537354,68.0,3.86,61.68,1037.53
bfs_rank_inorder_dram_64k_deg16,2025-11-17T11:53:55.547874,68.0,3.86,61.68,1037.53
bfs_rank_inorder_dram_64k_deg8,2025-11-17T11:53:55.558066,68.0,3.86,61.68,1037.53
bfs_rank_inorder_pcm_16k_deg16,2025-11-17T11:53:55.567474,150.64,1.74,27.84,2298.65
bfs_rank_inorder_pcm_16k_deg8,2025-11-17T11:53:55.577072,150.64,1.74,27.84,2298.65
bfs_rank_inorder_pcm_1k_deg16,2025-11-17T11:53:55.586902,150.64,1.74,27.84,2298.65
